title,description,startTime,openingTime,minimumAge,specialZone,location,latitude,longitude,categoryId,image,dates,dates,dates,dates,dates
La Solar 2024,Una breve descripción,21:00:00,20:00:00,1,1,Parque Norte,6.2723557,-75.5679465818133,1,https://picsum.photos/1200/400,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05
La Solar 2025,Una breve descripción,21:00:00,20:00:00,1,1,Parque Norte,6.2723557,-75.5679465818133,1,https://picsum.photos/1201/400,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05
La Solar 2026,Una breve descripción,21:00:00,20:00:00,1,1,Parque Norte,6.2723557,-75.5679465818133,1,https://picsum.photos/1202/400,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05
La Solar 2027,Una breve descripción,21:00:00,20:00:00,1,1,Parque Norte,6.2723557,-75.5679465818133,1,https://picsum.photos/1203/400,2027-06-01,2027-06-02,2027-06-03,2027-06-04,2027-06-05
La Solar 2028,Una breve descripción,21:00:00,20:00:00,1,1,Parque Norte,6.2723557,-75.5679465818133,1,https://picsum.photos/1204/400,2028-06-01,2028-06-02,2028-06-03,2028-06-04,2028-06-05
La Solar 2029,Una breve descripción,21:00:00,20:00:00,1,1,Parque Norte,6.2723557,-75.5679465818133,1,https://picsum.photos/1205/400,2029-06-01,2029-06-02,2029-06-03,2029-06-04,2029-06-05
La Solar 2030,Una breve descripción,21:00:00,20:00:00,1,1,Parque Norte,6.2723557,-75.5679465818133,1,https://picsum.photos/1206/400,2030-06-01,2030-06-02,2030-06-03,2030-06-04,2030-06-05
La Solar 2031,Una breve descripción,21:00:00,20:00:00,1,1,Parque Norte,6.2723557,-75.5679465818133,1,https://picsum.photos/1207/400,2031-06-01,2031-06-02,2031-06-03,2031-06-04,2031-06-05
La Solar 2032,Una breve descripción,21:00:00,20:00:00,1,1,Parque Norte,6.2723557,-75.5679465818133,1,https://picsum.photos/1208/400,2032-06-01,2032-06-02,2032-06-03,2032-06-04,2032-06-05
La Solar 2033,Una breve descripción,21:00:00,20:00:00,1,1,Parque Norte,6.2723557,-75.5679465818133,1,https://picsum.photos/1209/400,2033-06-01,2033-06-02,2033-06-03,2033-06-04,2033-06-05